int_idx, date_string
34266240000, 2020-06-06T00:00:00.000000Z
34784640000, 2020-07-06T00:00:00.000000Z
35303040000, 2020-08-05T00:00:00.000000Z
35821440000, 2020-09-04T00:00:00.000000Z
36339840000, 2020-10-04T00:00:00.000000Z
36858240000, 2020-11-03T00:00:00.000000Z
37376640000, 2020-12-03T00:00:00.000000Z
37895040000, 2021-01-02T00:00:00.000000Z
38413440000, 2021-02-01T00:00:00.000000Z
38931840000, 2021-03-03T00:00:00.000000Z
39450240000, 2021-04-02T00:00:00.000000Z
39968640000, 2021-05-02T00:00:00.000000Z
40487040000, 2021-06-01T00:00:00.000000Z
41005440000, 2021-07-01T00:00:00.000000Z
41523840000, 2021-07-31T00:00:00.000000Z
42042240000, 2021-08-30T00:00:00.000000Z
42560640000, 2021-09-29T00:00:00.000000Z
43079040000, 2021-10-29T00:00:00.000000Z
43597440000, 2021-11-28T00:00:00.000000Z
44115840000, 2021-12-28T00:00:00.000000Z
44634240000, 2022-01-27T00:00:00.000000Z
45152640000, 2022-02-26T00:00:00.000000Z
45671040000, 2022-03-28T00:00:00.000000Z
46189440000, 2022-04-27T00:00:00.000000Z
46707840000, 2022-05-27T00:00:00.000000Z
47226240000, 2022-06-26T00:00:00.000000Z
47744640000, 2022-07-26T00:00:00.000000Z
48263040000, 2022-08-25T00:00:00.000000Z
